
"ÁR _In_Sanity 				","STEAM_0:1:35646774","Medic","5","127","127","8739","9","1.04","0.04","126013","127","0","0","0","0","82","999.99",
"all aboÁRd the man train 				","STEAM_0:1:14182097","Engineer","127","127","127","143279","143","2.00","1.00","111100","127","0","0","0","127","10","999.99",
"ThePepe.ÁRtC 				","STEAM_0:0:59465239","Demoman","127","127","127","474318","474","2.00","1.00","271184","127","0","0","0","0","51","999.99",
"SodaPoppÁR 				","STEAM_0:0:31039119","Scout","127","127","127","230337","230","2.00","1.00","175318","127","0","0","0","0","113","999.99",
"PastafÁRian 				","STEAM_0:0:27863333","Solider","127","127","127","235593","236","2.00","1.00","171434","127","0","0","0","0","36","999.99",
"ÁR chuckwagon 				","STEAM_0:1:41804552","Spy","127","57","127","120508","121","1.45","1.00","118930","127","127","31","0","0","26","999.99",
"gwÁRtC2 BEECH 				","STEAM_0:0:43779793","Pyro","127","127","127","124862","125","2.00","1.00","183696","127","0","0","0","0","61","999.99",
"funz.ÁRtC 				","STEAM_0:1:22113461","Heavy","127","127","127","242059","242","2.00","1.00","466393","127","0","0","0","0","51","999.99",
"ÁR KillerZebra 				","STEAM_0:0:16626884","Sniper","127","127","127","214168","214","2.00","1.00","207503","127","0","127","0","0","62","999.99",
