
"ÁR _In_Sanity 				","STEAM_0:1:35646774","Medic","0","127","127","7719","8","1.00","0.00","126013","127","0","0","0","0","62","975.24",
"yiff me in an olive gÁRden 				","STEAM_0:1:14182097","Engineer","127","127","127","110144","113","2.00","1.00","111100","127","0","0","0","127","0","975.24",
"pwnstÁR 				","STEAM_0:0:59465239","Demoman","127","127","127","412323","423","2.00","1.00","271184","127","0","0","0","0","31","975.24",
"ÁRGH... I&#39;M A PIRATE 				","STEAM_0:0:31039119","Scout","127","127","127","200802","206","2.00","1.00","175318","127","0","0","0","0","83","975.24",
"ReDeV#USÁR 				","STEAM_0:0:27863333","Solider","127","127","127","198343","203","2.00","1.00","171434","127","0","0","0","0","31","975.24",
"chuckwÁRgon 				","STEAM_0:1:41804552","Spy","127","52","127","93158","96","1.41","1.00","118930","127","127","31","0","0","21","975.24",
"gwÃRtC2 BEECH 				","STEAM_0:0:43779793","Pyro","127","127","127","104642","107","2.00","1.00","183696","127","0","0","0","0","31","975.24",
"GeT_RiGhT#DreÁmhaRk 2k14 Champ 				","STEAM_0:1:22113461","Heavy","127","124","127","216014","221","1.98","1.00","466393","127","0","0","0","0","31","975.24",
"ÁR KillerZebra 				","STEAM_0:0:16626884","Sniper","127","127","127","165033","169","2.00","1.00","207503","127","0","127","0","0","52","975.24",
