
"ÁR _In_Sanity 				","STEAM_0:1:35646774","Medic","0","65","85","1245","7","0.76","0.00","23165","80","0","0","0","0","10","186.20",
"yiff me in an olive gÁRden 				","STEAM_0:1:14182097","Engineer","75","25","95","20020","108","1.05","0.79","20500","100","0","0","0","127","0","186.20",
"pwnstÁR 				","STEAM_0:0:59465239","Demoman","127","50","125","75115","403","1.42","1.02","50170","127","0","0","0","0","5","186.20",
"ÁRGH... I&#39;M A PIRATE 				","STEAM_0:0:31039119","Scout","125","40","127","35860","193","1.30","0.98","32290","127","0","0","0","0","15","186.20",
"ReDeV#USÁR 				","STEAM_0:0:27863333","Solider","70","35","120","37315","200","0.88","0.58","31520","127","0","0","0","0","5","186.20",
"chuckwÁRgon 				","STEAM_0:1:41804552","Spy","55","10","127","17190","92","0.51","0.43","22250","60","40","5","0","0","5","186.20",
"gwÃRtC2 BEECH 				","STEAM_0:0:43779793","Pyro","80","30","110","21060","113","1.00","0.73","34930","127","0","0","0","0","5","186.20",
"GeT_RiGhT#DreÁmhaRk 2k14 Champ 				","STEAM_0:1:22113461","Heavy","127","20","110","39970","215","1.34","1.15","87215","75","0","0","0","0","5","186.20",
"ÁR KillerZebra 				","STEAM_0:0:16626884","Sniper","95","40","120","29265","157","1.13","0.79","38065","95","0","100","0","0","10","186.20",
