
"ThePepe.ÁRtC 				","STEAM_0:0:59465239","Demoman","30","10","14","12399","632","2.90","2.10","0","4","0","0","0","0","4","19.62",
"ÁR _In_Sanity 				","STEAM_0:1:35646774","Medic","1","24","13","204","10","1.90","0.10","0","10","0","0","0","0","4","19.62",
"all aboÁRd the man train 				","STEAM_0:1:14182097","Engineer","15","24","19","6627","337","2.10","0.80","0","6","0","0","0","23","2","19.62",
"PastafÁRian 				","STEAM_0:0:27863333","Solider","26","6","17","7450","379","1.90","1.50","0","69","0","0","0","0","1","19.62",
"ÁR chuckwagon 				","STEAM_0:1:41804552","Spy","14","1","21","5470","278","0.70","0.70","0","3","11","0","0","0","1","19.62",
"SodaPoppÁR 				","STEAM_0:0:31039119","Scout","24","16","23","5907","301","1.70","1.00","0","23","0","0","0","0","6","19.62",
"gwÁRtC2 BEECH 				","STEAM_0:0:43779793","Pyro","24","7","15","4044","206","2.10","1.60","0","16","0","0","0","0","6","19.62",
"funz.ÁRtC 				","STEAM_0:1:22113461","Heavy","20","6","18","5209","265","1.40","1.10","0","11","0","0","0","0","4","19.62",
"ÁR KillerZebra 				","STEAM_0:0:16626884","Sniper","30","2","8","9827","500","4.00","3.80","0","5","0","22","0","0","2","19.62",
