
"KÁRl_Marx_Capital.pdf 				","STEAM_0:1:14182097","Engineer","6","2","12","2073","127","0.70","0.50","2808","9","0","0","0","17","2","0.00",
"furries ÁR cute :3 				","STEAM_0:0:31039119","Scout","14","1","10","3328","204","1.50","1.40","2073","7","0","0","0","0","3","0.00",
"ÁReDeV 				","STEAM_0:0:27863333","Solider","8","4","13","3809","234","0.90","0.60","3226","24","0","0","0","0","2","0.00",
"chuckwÁRgon 				","STEAM_0:1:41804552","Spy","6","1","15","2323","142","0.50","0.40","2592","10","5","2","0","0","0","0.00",
"gwor 				","STEAM_0:0:43779793","Pyro","9","7","10","2006","123","1.60","0.90","2976","9","0","0","0","0","2","0.00",
"ÁbRidge 				","STEAM_0:1:33156334","Demoman","9","5","11","5352","329","1.30","0.80","4475","12","0","0","0","0","1","0.00",
"ÁR _In_Sanity 				","STEAM_0:1:35646774","Medic","2","10","6","238","14","2.00","0.30","1848","4","0","0","0","0","0","0.00",
"funz with the ÁR 				","STEAM_0:1:22113461","Heavy","6","5","8","2829","173","1.40","0.80","5658","0","0","0","0","0","1","0.00",
"KillerZebra 				","STEAM_0:0:16626884","Sniper","9","2","14","3164","194","0.80","0.60","2913","6","0","8","0","0","1","0.00",
